,Method,Width
1667,FP2FM,0.7914422418198389
1668,FP2FM,0.7616067924066162
1669,FP2FM,0.8087278250825607
1670,FP2FM,0.7679045223671441
1671,FP2FM,0.8284165767286302
1672,FP2FM,0.8053293264203303
1673,FP2FM,0.7916035538279064
1674,FP2FM,0.8172651676930954
1675,FP2FM,0.8123561812628245
1676,FP2FM,0.8441914730069177
1677,FP2FM,0.8327206429128405
1678,FP2FM,0.8077732760906244
1679,FP2FM,0.8596330261354963
1680,FP2FM,0.801390335085395
1681,FP2FM,0.8441135004637588
1682,FP2FM,0.7929188274359215
1683,FP2FM,0.8736341939427336
1684,FP2FM,0.8973349121433349
1685,FP2FM,0.8977698113274393
1686,FP2FM,0.8494179581178436
1687,FP2FM,0.8940842014087355
1688,FP2FM,0.8154821831747524
1689,FP2FM,0.8035201382065552
1690,FP2FM,0.824675004507747
1691,FP2FM,0.6806026343027168
1692,FP2FM,0.8110022577482034
1694,FP2FM,0.7988706465289506
1697,FP2FM,0.6697619959601198
1698,FP2FM,0.8799279760140629
1699,FP2FM,0.8675869942345777
1700,FP2FM,0.8838118936740241
1701,FP2FM,0.8165594088767927
1702,FP2FM,0.7809689491210631
1703,FP2FM,0.884805116950708
1704,FP2FM,0.8403201474325261
1705,FP2FM,0.8604003704516576
1706,FP2FM,0.8915445571173992
1707,FP2FM,0.8699233358564531
1708,FP2FM,0.8824103048119933
1709,FP2FM,0.8484628755656528
1710,FP2FM,0.8894396282116561
1711,FP2FM,0.8973138471597251
1712,FP2FM,0.8720288778097902
1713,FP2FM,0.8122084380690286
1714,FP2FM,0.8381369829887128
1715,FP2FM,0.8854367336037053
1717,FP2FM,0.8630802457337831
