,Image type,Model,Threshold,F1,Image
7,Raw,Morphometrics,0.85,0.7486631,6
8,Raw,Morphometrics,0.9,0.49197862,6
9,Raw,Morphometrics,0.95,0.010695187,6
10,Raw,Morphometrics,1.0,0.0,6
0,Raw,Omnipose,0.5,0.896,7
1,Raw,Omnipose,0.55,0.856,7
2,Raw,Omnipose,0.6,0.856,7
3,Raw,Omnipose,0.65,0.856,7
4,Raw,Omnipose,0.7,0.856,7
5,Raw,Omnipose,0.75,0.856,7
6,Raw,Omnipose,0.8,0.848,7
7,Raw,Omnipose,0.85,0.824,7
8,Raw,Omnipose,0.9,0.768,7
9,Raw,Omnipose,0.95,0.456,7
10,Raw,Omnipose,1.0,0.0,7
0,Raw,Cellpose-SAM,0.5,0.91735536,7
1,Raw,Cellpose-SAM,0.55,0.892562,7
2,Raw,Cellpose-SAM,0.6,0.892562,7
3,Raw,Cellpose-SAM,0.65,0.892562,7
4,Raw,Cellpose-SAM,0.7,0.892562,7
5,Raw,Cellpose-SAM,0.75,0.892562,7
6,Raw,Cellpose-SAM,0.8,0.88429755,7
7,Raw,Cellpose-SAM,0.85,0.8595041,7
8,Raw,Cellpose-SAM,0.9,0.78512394,7
9,Raw,Cellpose-SAM,0.95,0.23966943,7
10,Raw,Cellpose-SAM,1.0,0.0,7
0,Raw,microSAM,0.5,0.70877194,7
1,Raw,microSAM,0.55,0.7017544,7
2,Raw,microSAM,0.6,0.69473684,7
3,Raw,microSAM,0.65,0.6666667,7
4,Raw,microSAM,0.7,0.645614,7
5,Raw,microSAM,0.75,0.58947366,7
6,Raw,microSAM,0.8,0.47017545,7
7,Raw,microSAM,0.85,0.2877193,7
8,Raw,microSAM,0.9,0.09824561,7
9,Raw,microSAM,0.95,0.0,7
10,Raw,microSAM,1.0,0.0,7
0,Raw,Cellpose3,0.5,0.8392157,7
1,Raw,Cellpose3,0.55,0.8392157,7
2,Raw,Cellpose3,0.6,0.8235294,7
3,Raw,Cellpose3,0.65,0.8235294,7
4,Raw,Cellpose3,0.7,0.8235294,7
5,Raw,Cellpose3,0.75,0.8156863,7
6,Raw,Cellpose3,0.8,0.74509805,7
7,Raw,Cellpose3,0.85,0.63529414,7
8,Raw,Cellpose3,0.9,0.2509804,7
9,Raw,Cellpose3,0.95,0.0,7
10,Raw,Cellpose3,1.0,0.0,7
0,Raw,Morphometrics,0.5,0.8347107,7
1,Raw,Morphometrics,0.55,0.8347107,7
2,Raw,Morphometrics,0.6,0.8347107,7
3,Raw,Morphometrics,0.65,0.8347107,7
4,Raw,Morphometrics,0.7,0.8181818,7
5,Raw,Morphometrics,0.75,0.8016529,7
6,Raw,Morphometrics,0.8,0.7107438,7
7,Raw,Morphometrics,0.85,0.60330576,7
8,Raw,Morphometrics,0.9,0.19008264,7
9,Raw,Morphometrics,0.95,0.008264462,7
10,Raw,Morphometrics,1.0,0.0,7
0,Raw,Omnipose,0.5,0.85714287,8
1,Raw,Omnipose,0.55,0.85714287,8
2,Raw,Omnipose,0.6,0.85714287,8
3,Raw,Omnipose,0.65,0.85714287,8
4,Raw,Omnipose,0.7,0.85714287,8
5,Raw,Omnipose,0.75,0.85714287,8
6,Raw,Omnipose,0.8,0.71428573,8
7,Raw,Omnipose,0.85,0.5714286,8
8,Raw,Omnipose,0.9,0.5714286,8
9,Raw,Omnipose,0.95,0.42857143,8
10,Raw,Omnipose,1.0,0.0,8
0,Raw,Cellpose-SAM,0.5,0.9230769,8
1,Raw,Cellpose-SAM,0.55,0.7692308,8
2,Raw,Cellpose-SAM,0.6,0.7692308,8
3,Raw,Cellpose-SAM,0.65,0.7692308,8
4,Raw,Cellpose-SAM,0.7,0.7692308,8
5,Raw,Cellpose-SAM,0.75,0.7692308,8
6,Raw,Cellpose-SAM,0.8,0.61538464,8
7,Raw,Cellpose-SAM,0.85,0.61538464,8
8,Raw,Cellpose-SAM,0.9,0.46153846,8
9,Raw,Cellpose-SAM,0.95,0.46153846,8
10,Raw,Cellpose-SAM,1.0,0.0,8
0,Raw,microSAM,0.5,0.3529412,8
1,Raw,microSAM,0.55,0.3529412,8
2,Raw,microSAM,0.6,0.23529412,8
3,Raw,microSAM,0.65,0.23529412,8
4,Raw,microSAM,0.7,0.0,8
5,Raw,microSAM,0.75,0.0,8
6,Raw,microSAM,0.8,0.0,8
7,Raw,microSAM,0.85,0.0,8
8,Raw,microSAM,0.9,0.0,8
9,Raw,microSAM,0.95,0.0,8
10,Raw,microSAM,1.0,0.0,8
0,Raw,Cellpose3,0.5,0.53333336,8
1,Raw,Cellpose3,0.55,0.53333336,8
2,Raw,Cellpose3,0.6,0.53333336,8
3,Raw,Cellpose3,0.65,0.4,8
4,Raw,Cellpose3,0.7,0.26666668,8
5,Raw,Cellpose3,0.75,0.26666668,8
6,Raw,Cellpose3,0.8,0.26666668,8
7,Raw,Cellpose3,0.85,0.26666668,8
8,Raw,Cellpose3,0.9,0.26666668,8
9,Raw,Cellpose3,0.95,0.0,8
10,Raw,Cellpose3,1.0,0.0,8
0,Raw,Morphometrics,0.5,0.18181819,8
1,Raw,Morphometrics,0.55,0.18181819,8
2,Raw,Morphometrics,0.6,0.18181819,8
3,Raw,Morphometrics,0.65,0.18181819,8
4,Raw,Morphometrics,0.7,0.18181819,8
5,Raw,Morphometrics,0.75,0.18181819,8
6,Raw,Morphometrics,0.8,0.18181819,8
7,Raw,Morphometrics,0.85,0.18181819,8
8,Raw,Morphometrics,0.9,0.0,8
9,Raw,Morphometrics,0.95,0.0,8
10,Raw,Morphometrics,1.0,0.0,8
0,Raw,Omnipose,0.5,1.0,9
1,Raw,Omnipose,0.55,1.0,9
2,Raw,Omnipose,0.6,1.0,9
3,Raw,Omnipose,0.65,1.0,9
4,Raw,Omnipose,0.7,1.0,9
5,Raw,Omnipose,0.75,1.0,9
6,Raw,Omnipose,0.8,1.0,9
7,Raw,Omnipose,0.85,1.0,9
8,Raw,Omnipose,0.9,0.8,9
9,Raw,Omnipose,0.95,0.0,9
10,Raw,Omnipose,1.0,0.0,9
0,Raw,Cellpose-SAM,0.5,1.0,9
1,Raw,Cellpose-SAM,0.55,1.0,9
2,Raw,Cellpose-SAM,0.6,1.0,9
3,Raw,Cellpose-SAM,0.65,1.0,9
4,Raw,Cellpose-SAM,0.7,1.0,9
5,Raw,Cellpose-SAM,0.75,1.0,9
6,Raw,Cellpose-SAM,0.8,1.0,9
7,Raw,Cellpose-SAM,0.85,1.0,9
8,Raw,Cellpose-SAM,0.9,0.8,9
9,Raw,Cellpose-SAM,0.95,0.0,9
