,Target,Image_full_path,Image,label,Width,Length,SurfaceArea,Volume
41,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,14,0.7357198098577687,2.7390118026380406,4.992350592434181,0.8365597368814248
42,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,15,0.7079164311544519,2.5131773575063185,4.94415270396507,0.8327071158251295
43,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,17,0.7368691064998427,4.733927928772716,9.925993754181064,1.7503747709895687
44,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,18,0.7346933146294443,4.515786468418872,8.499440308633828,1.5221820540479136
45,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,19,0.7408256511361967,4.83645218954681,10.215326870226246,1.8326162423902466
46,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,20,0.7548295952047428,3.5595157665441373,7.231529462255926,1.2534168573057922
47,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_006_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_006_R3D_D3D_cp_masks_FM.tif,2,0.7939834452192184,4.354214000469113,10.13957053531495,1.8894721670280354
48,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_006_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_006_R3D_D3D_cp_masks_FM.tif,3,0.8095535791982388,5.10002246274328,10.854763849979493,2.085556732735379
49,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_006_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_006_R3D_D3D_cp_masks_FM.tif,4,0.8043988746395013,3.556882016815352,7.273291091442607,1.343985274122734
50,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_006_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_006_R3D_D3D_cp_masks_FM.tif,5,0.7783270682442239,3.1678691236116157,6.669275296821389,1.215388039461778
