Channel,Distance_(um),Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38
FM,1.4835,12421.08,11622.258,14381.854,12664.871,11204.141,11181.477,9516.593,13975.24,10777.689,9364.911,12260.907,12780.762,15129.864,9305.946,8843.36,11768.84,14506.965,10559.04,9655.26,10419.43,10073.368,9431.973,8034.52,8397.557,9899.65,9429.537,10881.813,16827.527,8910.43,8354.218,9980.672,10131.995,10105.758,8003.124,11330.562,12905.278,11633.334,12935.559,9630.573
FM,1.548,9800.84,9092.903,10606.55,10100.618,9226.939,8591.894,7540.399,10713.68,9176.65,7580.792,9516.75,10022.341,11490.765,7740.299,7226.06,8929.461,11059.048,8933.32,7866.05,8402.075,7922.203,7517.824,6921.848,7346.88,8605.644,7870.718,8749.641,13704.54,7757.581,7241.687,8008.636,8446.886,8223.65,6827.016,8947.701,10089.993,9035.92,11358.087,7835.882
FM,1.6125,8394,7606.161,8664.508,8673.34,8414,7215.329,6350.214,9238,8088.282,6725.232,8083.505,8272.375,9523.75,7041.5,6391,7625,8972.562,7663.5,7044.5,7172,6717.25,6532.875,6044.5,6312,7925.5,7035.875,7685.75,11205,6992,6440,6898.75,7445.5,7425,6073.5,7751,8109,7531.5,10282,6944
Phase,0,1942,1965,1882,1967.667,1590.332,2050.584,2053.762,1857,1658.984,2203.439,1756,1986,1755,2081.5,2069,2185,2033,2104,1942.5,1879.75,2142,2153,1908.5,2060.5,1919.5,2968,2402.375,1944.062,2182,2104,2032,2030.5,1897.75,2006,2100.75,1941.688,1849,2031.125,2313
Phase,0.0645,1838.04,1953.052,2036.258,1880.737,1490.963,2060.528,2084.039,1701,1506.493,2322.031,1802.503,1781.872,1807.272,2175.9,2129.24,2185.675,2169.975,1995.22,2029.95,1981.34,2225.292,2188.027,1873.476,2036.88,2014.53,2989.028,2555.979,1987.209,2224.273,2003.382,2001.784,1959.57,1836.902,1945.544,2160.298,1968.79,1947.188,2124.198,2358.474
Phase,0.129,1674.96,1855.832,1963.269,1826.496,1335.813,2045.155,2105.186,1585.22,1314.715,2144.552,1582.391,1593.378,1811.674,2176.158,2066.86,2120.838,2101.46,1853.8,2004.96,1960.385,2129.986,1964.76,1882.34,1932.384,1995.796,2840.622,2546.838,2088.009,2063.889,1873.304,1765.072,1744.948,1739.403,1976.648,2229.518,2026.027,2009.143,2057.502,2349.346
Phase,0.1935,1510.64,1672.052,1852.777,1713.449,1192.772,1895.736,1930.683,1345.2,1119.251,1909.765,1286.257,1380.725,1691.923,2125.388,1860.4,1771.59,1818.665,1810.46,1918.13,1867.14,1887.492,1554.839,1761.754,1650.004,1874.93,2394.513,2313.578,2104.454,1774.119,1538.377,1514.125,1433.856,1446.222,1722.372,2130.779,2014.294,1910.37,2023.132,2024.529
Phase,0.258,1385.6,1372.57,1581.546,1444.836,1042.882,1624.175,1594.05,1138.54,963.227,1601.905,1038.134,1170.118,1418.798,1835.698,1546.4,1564.306,1389.144,1485.92,1469.93,1659.985,1549.038,1199.776,1519.494,1471.856,1691.004,1903.189,1861.38,1997.616,1516.861,1171.035,1164.46,1189.959,1219.404,1457.264,1924.061,1836.398,1666.118,1882.521,1690.226
Phase,0.3225,1295,1246.244,1375.707,1236.128,995.693,1349.565,1350.602,979,869.925,1271.471,900.493,951.667,1210.19,1518.18,1262.8,1151.24,1114.688,1173.4,1255.45,1326.7,1206.01,1039,1338.4,1243.84,1431.1,1448.495,1475.92,1855.287,1222.715,1026.99,1017.75,1019.17,1041.85,1155.6,1610.08,1504.75,1492.83,1508.05,1359.5
Phase,0.387,1174.6,1201.56,1176.642,1132.367,1008.82,1173.42,1102.041,845.34,880.698,1057.439,833.504,888.572,966.11,1231.679,995.4,992.086,957.184,952.38,967.77,1063.99,957.688,937.624,1120.164,1084.036,1154.772,1141.078,1125.359,1529.662,982.131,899.529,923.228,919.451,930.249,994.416,1257.977,1242.307,1134.526,1212.321,1067.54
