,Method,Width_mu,Width_sigma,Length_mu,Length_sigma,SurfaceArea_mu,SurfaceArea_sigma,Volume_mu,Volume_sigma
112,Automatic,0.9683744704837561,0.001265789606811267,5.076582701944016,0.03336198319085564,15.72595842686018,0.033152931664168404,3.5889657844993073,0.008411088142305474
113,Automatic,1.0065032124840851,0.0015758457720342971,4.896893084985144,0.031618518686950134,13.3790301277233,0.0266458011873204,3.12757170306142,0.0073164407843915235
114,Automatic,0.9176433993648634,0.0011310738801334449,4.428846305821336,0.024919402547151637,12.325527972396962,0.023256621507203125,2.660918643233517,0.005206212023961186
115,Automatic,0.952415270484584,0.001269542605370988,3.9819269526064445,0.019325722737527414,10.054138172660464,0.014990441147128686,2.1861798318064265,0.00414665036298834
116,Automatic,0.9877996871505623,0.0014864364266312497,4.354961180608371,0.024198502983640423,12.17957511989156,0.02101132954627333,2.760268417043658,0.005936399133849149
117,Automatic,0.8711742713582412,0.0009514979630614195,5.24111312183872,0.03246703723678138,11.290547844483129,0.017443591671812367,2.3185606125954337,0.004768537833760316
118,Automatic,1.038277226529592,0.0015828162191192851,4.233894828320057,0.023106112480626734,12.191468662130184,0.02030380196545102,2.8888752671248663,0.00646305461738989
119,Automatic,0.9832168688461147,0.0013762727641470276,4.582183013507021,0.025496099109244615,13.891311025142606,0.026626438522216845,3.171606795125805,0.006968376004902255
120,Automatic,0.9930338427910663,0.0015579044600325185,2.905124183763116,0.013354801772741075,8.54869274718445,0.01187891584345722,1.8795568172185522,0.003170182181567303
121,Automatic,0.9572303810525394,0.0014106794736029385,4.886528493679788,0.03186662648958652,14.276064661336205,0.02601878556787594,3.276721246618439,0.008193462671509678
122,Automatic,0.9844155208675213,0.001438521758856258,4.874133984123206,0.030340934465424182,14.153377628602714,0.02896499027123181,3.2501123294904675,0.007706247768296954
123,Automatic,1.0035999296117262,0.0015615426852195694,4.6890252203976,0.02802475203710921,12.578408038449878,0.022768138079382553,2.916264662558654,0.006856081079530008
124,Automatic,0.9132505683426314,0.0011240438386214023,5.082715289860013,0.02983831356713463,14.078663506168207,0.027026330883079732,3.0464934093212093,0.00645121828022903
125,Automatic,1.0586433895282954,0.0019003472143356817,5.11854668414199,0.03152585030967341,15.265705508201252,0.029530321873330694,3.7458630201962375,0.009273304524661722
126,Automatic,0.9885102045844129,0.0014090875236846595,5.857587360103244,0.04193332389120689,18.882232986424274,0.045435206404260936,4.42547977132401,0.012433121117719348
127,Automatic,0.8750033833531838,0.0009323545798561037,4.81343191747348,0.026439123798549614,10.938991664385856,0.01685626630136455,2.2525365716427523,0.004334107525740855
128,Automatic,0.9868359679506647,0.0016338064096021914,4.7154649177588706,0.028258600097686888,12.648441505668428,0.021646740712674466,2.891209440656992,0.006610093419535101
129,Automatic,0.9837576245205254,0.0014322940657154038,4.5988324292275005,0.025079158853956975,13.146809921200559,0.023624538200851516,3.000217568136219,0.006939634764590564
130,Automatic,1.006688890641031,0.0014537913327555638,5.327824442994867,0.03318186345857479,14.876138331900817,0.029215640000705357,3.5645284801313375,0.009025695363326373
131,Automatic,0.9174691116611241,0.0011377288945903198,2.8381613456249286,0.012364332089306587,7.113364351315459,0.009129044894965303,1.523802420845476,0.0026800855663353935
132,Automatic,0.9857724575470993,0.0014025114783998453,6.432070230536203,0.04898231162148732,17.327177277980407,0.040738524318871976,4.052753553630786,0.011143772140686117
133,Automatic,0.9619410103996259,0.001238448369959993,4.963692999867898,0.03230105269843969,14.125412851874362,0.028294973563959276,3.23779896726025,0.007161875604129874
134,Automatic,0.9466169433159036,0.0012332896538868002,3.5572486198813458,0.014926383185969517,9.184496440494666,0.012314434895363524,2.0766065996116514,0.0037672150553722666
135,Automatic,0.8832352065991934,0.0010224687281982364,4.698173893266059,0.028295113092497184,10.294612496464152,0.015450694089243577,2.180401872097215,0.004061065738088975
136,Automatic,0.8477768545899853,0.0008146255169121464,4.287400025505638,0.023288055224167905,9.611050225676646,0.01489702577224757,1.980703272222184,0.0034086349208521144
137,Automatic,0.842603439582027,0.0007807569027685351,4.36556702776268,0.022601598976914376,11.109289089290964,0.01704301503575525,2.208048795720179,0.00443270898736028
138,Automatic,1.0139174904047001,0.0015226974780366874,3.299131013383476,0.014730573770222506,10.270928082216013,0.015688609721908952,2.333858784337936,0.0050420423555980485
139,Automatic,0.9215005882883447,0.0011502359805754018,2.703335400359925,0.014145235464911074,6.214498868474729,0.009122166398127766,1.299051160681213,0.0023576346480982473
140,Automatic,0.9852730310512218,0.0015409965766824923,3.422401952926202,0.013843486444425934,10.200080006926756,0.014901418938192744,2.2684448518731823,0.0039359104630420005
141,Automatic,0.9610562682693026,0.001384328161340863,4.373673036015846,0.024524319031498935,11.68156535195556,0.021226081871478994,2.583118183245996,0.00567422475672083
142,Automatic,0.9017718138577525,0.00109778730742658,3.942935099781168,0.020294951689595043,11.012251133089332,0.01799063893795345,2.3080757339430256,0.004424055302662694
143,Automatic,0.9415559951552879,0.0011809773060105946,2.7888269455760892,0.012882381378266316,6.486510351300791,0.00857152670148454,1.397216923829569,0.0024044899178119463
144,Automatic,0.9694249702605521,0.0013982544888740032,4.41220882301187,0.02354925918175581,12.543692969495178,0.02273147988364402,2.8201876638083907,0.006365644180040437
145,Automatic,0.8767118837215194,0.0009412919300418127,5.608416097299827,0.04229036788221646,13.015909858130742,0.024301874356807578,2.787625288115857,0.006472071671268422
146,Automatic,0.9823737917236142,0.0014538092803986333,4.4852885571987615,0.02401169412475286,13.549620413661195,0.026550269562303656,3.156449858415356,0.007353636493034086
147,Automatic,0.9688229941798165,0.0014820126167776457,5.083484371796208,0.03206121746028607,15.04010955001167,0.030149402581209624,3.417618234867606,0.008780003544328776
148,Automatic,1.0278044867968061,0.0016975377445950753,4.832150400460527,0.027223650809396663,13.376582743430024,0.025137554370998648,3.1883558030892534,0.007257620575754322
149,Automatic,0.9013489216839787,0.001083521584971535,2.945405603737331,0.01275703359469793,6.790665909714141,0.00902304868650267,1.476761427829856,0.0025335259565152746
150,Automatic,0.9181491130217008,0.0011143772194895894,4.875430583356069,0.029700812731513867,14.054724362467317,0.02962025444631968,3.0385799871833714,0.007542658296746336
151,Automatic,1.0542396668189804,0.00172412374498082,4.004879184903772,0.018917679788484677,12.540128743886195,0.02316055180770187,3.0098665145382912,0.007293689178103569
152,Automatic,0.9326059683321771,0.0011964473586808916,4.3214297855642645,0.02158339180211326,10.275867429748175,0.016557565126733655,2.235716170926065,0.004259725912924803
153,Automatic,0.9466164110284542,0.0012740723507602839,4.383665287816853,0.023687191290685822,11.657527811708082,0.01968384929818012,2.5465203943484496,0.0054779301596406755
154,Automatic,0.8906167582541916,0.0009943294269886965,4.078319468871157,0.02010184400570049,10.189873151225513,0.015781034668973626,2.1039190666619647,0.003967548659369092
155,Automatic,0.9957589345037585,0.0015285224642560696,4.97118867356945,0.029288905962798976,13.16636739887244,0.024528587286585943,3.02683419198463,0.007205333798406805
156,Automatic,1.0131199684825676,0.0015327349775428928,2.9967680537791415,0.013207509387584533,9.029384921881901,0.013099496064411905,2.0162377425465117,0.0039281596777657486
157,Automatic,1.0096375158799464,0.0015636870324521937,2.9722091133776214,0.013397169885335129,8.743746678229984,0.01174919939971688,1.9876271625512316,0.0035185131976274617
158,Automatic,0.9036387273152555,0.001010216928342014,5.943072232954544,0.04235125837741866,14.192777755025327,0.029883655853607523,3.1178592064134634,0.0076667482341732825
159,Automatic,0.9559246088391963,0.0013453017052194476,3.254316361271083,0.013288048057697475,9.570293439619949,0.013704956798810224,2.0673710272500836,0.0037281981596927172
160,Automatic,0.8758036497115138,0.0009548542258371461,3.7475535265239106,0.017574508619520743,9.755284629738446,0.014513731064775628,2.100753870146354,0.00380489186255723
161,Automatic,0.8327199379914441,0.0008002483844216748,3.844776763811244,0.01721725923398427,9.598822902662851,0.013342568261968774,1.8619367077629856,0.003120098439784904
162,Automatic,0.8344922118715158,0.0007894903839178012,2.617964067257969,0.015030627198595766,5.755430711062816,0.009606385796459848,1.0763041395728015,0.0022144832087648792
163,Automatic,0.9855358284392876,0.001524085775525153,3.08354027436521,0.012645181395226517,8.09344086122661,0.010622436331508582,1.754192626609366,0.0026725314007927017
164,Automatic,0.938858663628961,0.0011222171794301368,4.163756426499734,0.021538791509741015,11.966459038779936,0.019753722531441916,2.610354069678022,0.0053211237027273265
165,Automatic,0.9982702920462588,0.00150444875413893,5.219670187883885,0.03508973159538409,15.383525881230714,0.03210707729147615,3.5979915846907593,0.00870631537727383
166,Automatic,0.9454879754956986,0.001246370521280594,5.44217121640126,0.03589286617172339,14.56470173087749,0.028250421504747634,3.2409676948476975,0.007544843530465238
167,Automatic,0.923411579607767,0.0012375331431765473,5.5038253821569505,0.03719475156225685,13.314979682674833,0.026205497118707313,2.894263481633228,0.005915478066487677
168,Automatic,0.9836717874979147,0.0015520146505829755,3.9573800027989487,0.018485807492256433,10.975572770509292,0.017895949423132367,2.4706200299563945,0.005475168294005779
169,Automatic,1.0635098729774686,0.001820279401507583,5.2367579503207695,0.03677608189224884,17.221022465354025,0.038906387403698776,4.319026024383068,0.011909960715688407
170,Automatic,0.9909962857587465,0.001414972430765595,3.723363701802959,0.01706273744061456,11.453338371225938,0.020189133775554303,2.6136511510782894,0.0052141589919312776
171,Automatic,0.9994224611891922,0.0015649885254059796,3.5885719869876627,0.014717053504256644,10.9665983307645,0.015643912393918227,2.4934367958418013,0.005313711972549536
172,Automatic,0.919315505064002,0.0011045349927631637,4.704861486674921,0.02854163952083354,12.545044638202171,0.023015258737785944,2.6912903309044216,0.006165619604316988
173,Automatic,1.0165989605457475,0.0017480312488782125,3.771409587782562,0.018794484609653953,10.195481135998342,0.015038218747527438,2.3255833403620274,0.004867757630984421
174,Automatic,0.9428044851747568,0.0012332186020652595,4.534559606530116,0.02406989989360349,12.235277729804496,0.019432467138158143,2.735824330097048,0.0060536602279934685
175,Automatic,0.9663590137915313,0.0012566548838114006,4.874130678555303,0.0299714214294111,13.140111411422572,0.025336062330125576,2.9518129724213322,0.006681376941128827
