,Method,SurfaceArea
1382,FP2FM,14.797778835859935
1383,FP2FM,14.594676955102393
1384,FP2FM,11.010769090620814
1385,FP2FM,16.67663950282405
1386,FP2FM,7.638531098530386
1387,FP2FM,18.010457425365555
1388,FP2FM,12.993838371491947
1389,FP2FM,9.910554756984
1390,FP2FM,9.301114238780158
1391,FP2FM,12.054213261833732
1392,FP2FM,18.119276423447285
1393,FP2FM,9.679271323942679
1395,FP2FM,2.161715955650263
1396,FP2FM,2.606804220912703
1397,FP2FM,12.077482508686488
1398,FP2FM,11.805855698042897
1399,FP2FM,12.018077764499646
1400,FP2FM,14.47616764669416
1401,FP2FM,6.7579499298200405
1402,FP2FM,6.287673668147153
1403,FP2FM,13.773489555065092
1404,FP2FM,9.429689681737164
1405,FP2FM,12.174127246590713
1406,FP2FM,4.238910278186951
1407,FP2FM,4.91328083720227
1408,FP2FM,13.203349629209375
1409,FP2FM,11.237177832674137
1410,FP2FM,8.102126806918246
1411,FP2FM,10.990782790698516
1412,FP2FM,9.942794742575083
1413,FP2FM,10.759554205890417
1414,FP2FM,9.172997141549567
1415,FP2FM,9.781789546712469
1416,FP2FM,10.71820454137701
1417,FP2FM,9.402057544634042
1418,FP2FM,8.608754106880237
1419,FP2FM,10.035280072609853
1420,FP2FM,10.087233576055082
1421,FP2FM,12.779336306570027
1422,FP2FM,14.887459518529667
1423,FP2FM,10.424701159761149
1424,FP2FM,15.368139354562679
1425,FP2FM,10.612616271665013
1426,FP2FM,13.509690570688493
1428,FP2FM,11.461473960070785
1429,FP2FM,9.988032353038088
1430,FP2FM,7.784914162743216
1431,FP2FM,23.130255627565546
1432,FP2FM,10.226096287550726
1433,FP2FM,8.75039445200754
1434,FP2FM,16.23387905571703
1435,FP2FM,16.39671029906299
1436,FP2FM,7.21199926213303
1437,FP2FM,12.681664132616312
1438,FP2FM,10.17087916646287
1439,FP2FM,13.52135969088216
1440,FP2FM,11.249812207491605
1442,FP2FM,10.906818127918758
1443,FP2FM,14.042995610603285
1444,FP2FM,15.345110108528699
1445,FP2FM,12.770883071292173
1446,FP2FM,11.72433227368157
1447,FP2FM,13.675620617572864
1448,FP2FM,20.020573553269752
1449,FP2FM,11.172403274148094
1450,FP2FM,15.01422724381661
1451,FP2FM,14.103169701363887
1452,FP2FM,12.699434761142914
1453,FP2FM,19.794762193994686
1454,FP2FM,21.751091669496695
1455,FP2FM,16.08880187828666
1456,FP2FM,13.565849446274367
1457,FP2FM,17.444327285229857
1458,FP2FM,20.393117588691638
1459,FP2FM,7.566696935457642
1461,FP2FM,5.8531821889051034
1462,FP2FM,8.595797927638836
1463,FP2FM,3.789327018824519
1465,FP2FM,6.837262568107851
1467,FP2FM,12.210947336150234
1468,FP2FM,12.909561774993454
1469,FP2FM,11.36104691821576
1470,FP2FM,12.514481814500504
1471,FP2FM,11.584851319321825
1472,FP2FM,11.189729009896826
1473,FP2FM,15.625635086567605
1474,FP2FM,13.000204564061786
1475,FP2FM,15.698387778691849
1476,FP2FM,12.689081234493734
1477,FP2FM,10.489340856618652
1478,FP2FM,11.967108719813455
1479,FP2FM,12.807935754939699
1480,FP2FM,10.92722252875203
1481,FP2FM,11.111949234530238
1482,FP2FM,10.127910909766067
1483,FP2FM,13.184920989143327
1484,FP2FM,10.563658264332346
1485,FP2FM,11.898567534783798
1486,FP2FM,13.994006041963935
1487,FP2FM,14.039803839185973
1488,FP2FM,11.4524610922878
1489,FP2FM,10.484088313369448
1490,FP2FM,15.60642257569247
1491,FP2FM,11.909671666628508
1492,FP2FM,12.107152793705886
1493,FP2FM,10.384623975047852
1494,FP2FM,16.222483519531973
1495,FP2FM,12.451485057580545
1496,FP2FM,13.606165686615354
1497,FP2FM,13.83284718406708
1498,FP2FM,14.631943628690655
1499,FP2FM,17.750021227401618
1500,FP2FM,12.361890747588832
1501,FP2FM,12.201028268998177
1502,FP2FM,14.84150853062181
1503,FP2FM,13.844919780236284
1504,FP2FM,13.70090404594711
1505,FP2FM,10.836171464883162
1506,FP2FM,14.940345226206961
1507,FP2FM,18.919770112242247
1508,FP2FM,14.600309532995782
1509,FP2FM,10.646181144203831
1510,FP2FM,10.833002311066238
1511,FP2FM,12.710707594834663
1512,FP2FM,12.82485447099779
1513,FP2FM,21.166666544360613
1514,FP2FM,15.679368099902327
1515,FP2FM,15.093574623042487
1516,FP2FM,22.675496386035913
1517,FP2FM,13.155721799909365
1518,FP2FM,11.781348940152801
1519,FP2FM,16.496885151660436
1520,FP2FM,14.882530028895712
1521,FP2FM,15.637632862676929
1522,FP2FM,18.981208562351355
1523,FP2FM,10.336368699223723
1524,FP2FM,14.073909959888674
1525,FP2FM,11.964734441420138
1526,FP2FM,13.567477318151381
1527,FP2FM,12.007742504172986
1528,FP2FM,12.396835602388592
1529,FP2FM,10.580096726004196
1530,FP2FM,13.163166736653082
1531,FP2FM,17.403585881361764
1532,FP2FM,13.742635722818028
1533,FP2FM,13.583545631857055
1534,FP2FM,10.907423665564849
1535,FP2FM,13.961458704691314
1536,FP2FM,16.520937063472033
1537,FP2FM,15.633130023383568
1538,FP2FM,10.594226399301625
1539,FP2FM,14.484237143230454
1540,FP2FM,15.684462408738545
1541,FP2FM,11.813323270596044
1542,FP2FM,18.06725510461051
1543,FP2FM,17.120841218976828
1544,FP2FM,15.507374982723134
1545,FP2FM,14.116899519051115
1546,FP2FM,11.161104762072156
1547,FP2FM,14.101741594235651
1548,FP2FM,15.21962106453754
1549,FP2FM,13.50000368116324
1550,FP2FM,11.79398331116663
1551,FP2FM,14.650796933658304
1552,FP2FM,17.388455605799848
1553,FP2FM,12.086231761457654
1554,FP2FM,15.68840105798069
1555,FP2FM,19.49990086558487
1556,FP2FM,13.558214619488185
1557,FP2FM,13.784921212458526
1558,FP2FM,14.051706003856955
1559,FP2FM,13.890717570635704
1560,FP2FM,15.373482919186605
1561,FP2FM,15.372634775493394
1562,FP2FM,13.235855114918918
1563,FP2FM,15.141237253050805
1564,FP2FM,17.564277543067845
1565,FP2FM,13.48547144766395
1566,FP2FM,12.122276183107747
1567,FP2FM,3.036855218283509
1568,FP2FM,15.135036931037252
1569,FP2FM,17.987644327737684
1570,FP2FM,12.805002677549949
1571,FP2FM,14.97055250638858
1572,FP2FM,13.465936304179708
1573,FP2FM,14.492726860448416
1574,FP2FM,12.424590118491862
1575,FP2FM,3.6537483214787914
1576,FP2FM,6.567213900363803
1577,FP2FM,9.930298987264424
1578,FP2FM,12.435392014580929
1579,FP2FM,15.554590006805869
1580,FP2FM,12.402987927190354
1581,FP2FM,13.17030198163981
1582,FP2FM,10.557028293359066
1583,FP2FM,12.792946734888595
1584,FP2FM,15.022547621125572
1585,FP2FM,9.16507818932564
1586,FP2FM,9.551352180467635
1587,FP2FM,7.724093877716726
1588,FP2FM,10.94543544626515
1589,FP2FM,7.6868398467908
1590,FP2FM,10.45717835778499
1591,FP2FM,17.714105970588715
1592,FP2FM,9.577368107290338
1593,FP2FM,8.576525415729398
1594,FP2FM,18.712544060553288
1595,FP2FM,9.012576134614232
1596,FP2FM,11.325245528866185
1597,FP2FM,9.108737125561689
1598,FP2FM,13.457338368891433
1599,FP2FM,19.175983077946274
1600,FP2FM,12.166866715384588
1601,FP2FM,8.704722315108167
1602,FP2FM,18.754012925886034
1603,FP2FM,15.052513125766719
1604,FP2FM,20.226555110402092
1605,FP2FM,9.287614277974535
1606,FP2FM,17.96844394847798
1607,FP2FM,3.0964843333997414
1608,FP2FM,15.401697031067165
1609,FP2FM,8.843626371379386
1610,FP2FM,5.016621490051302
1611,FP2FM,15.81740264277168
1612,FP2FM,9.45275017981427
1613,FP2FM,20.99751172390625
1615,FP2FM,6.43871142240613
1616,FP2FM,10.911840478935073
1617,FP2FM,10.333900518947878
1618,FP2FM,11.1890624992026
1619,FP2FM,17.988868393570254
1620,FP2FM,17.371698473223713
