,Method,Length
1438,FP2FM,5.363414355809305
1439,FP2FM,5.317313040098593
1440,FP2FM,6.109000144674797
1441,FP2FM,11.23212463657999
1442,FP2FM,5.183802556610483
1443,FP2FM,5.343199633099072
1444,FP2FM,6.545794168036297
1445,FP2FM,6.266333329507465
1446,FP2FM,5.003615682586713
1447,FP2FM,5.141828098566477
1448,FP2FM,7.824597862970725
1449,FP2FM,5.001682807169739
1450,FP2FM,6.256528560658646
1451,FP2FM,5.586195163283801
1452,FP2FM,5.311430717459994
1455,FP2FM,8.410372187302201
1456,FP2FM,6.161349298635569
1457,FP2FM,6.968652524037201
1458,FP2FM,7.668902232992972
1459,FP2FM,3.854564371825026
1461,FP2FM,3.1250233846329545
1462,FP2FM,4.4469182099845295
1463,FP2FM,2.326302068648043
1465,FP2FM,3.1761569378731123
1467,FP2FM,5.5439443601504586
1468,FP2FM,5.56487564272374
1469,FP2FM,5.509945632242828
1470,FP2FM,5.171926018435843
1471,FP2FM,4.565133952872193
1472,FP2FM,4.78561948406746
1473,FP2FM,7.3414431287434345
1474,FP2FM,5.028817808148555
1475,FP2FM,6.248775104002416
1476,FP2FM,6.002107019745029
1477,FP2FM,4.9028638096969
1478,FP2FM,4.55049612897232
1479,FP2FM,5.929047663703088
1480,FP2FM,5.018213415373166
1481,FP2FM,5.510881632047143
1482,FP2FM,4.951847810103678
1483,FP2FM,5.820894504794099
1484,FP2FM,4.884384661250587
1485,FP2FM,5.000930836683367
1486,FP2FM,6.335984227951772
1487,FP2FM,5.365886343620833
1488,FP2FM,4.902334138535012
1489,FP2FM,4.2234518728242785
1490,FP2FM,6.980906102951772
1491,FP2FM,4.99483658500332
1492,FP2FM,5.8580250335130195
1493,FP2FM,4.368084676513103
1494,FP2FM,6.972388065842917
1495,FP2FM,5.869671688969209
1496,FP2FM,6.291723787788641
1497,FP2FM,5.555494762296085
1498,FP2FM,5.7927464728543745
1499,FP2FM,7.628574227538797
1500,FP2FM,5.237617143444128
1501,FP2FM,4.972047402255824
1502,FP2FM,7.595979033956984
1503,FP2FM,5.398061203768404
1504,FP2FM,5.267015528077081
1505,FP2FM,4.829288016336487
1506,FP2FM,6.988072843240212
1507,FP2FM,8.113744856504765
1508,FP2FM,5.6950589552320245
1509,FP2FM,4.4754268859956055
1510,FP2FM,4.599177059836868
