Method,area_convex
FM2FM,6.467621696
FM2FM,7.553183923
FM2FM,8.355917677
FM2FM,4.529414809
FM2FM,5.128345692
FM2FM,5.265600687
FM2FM,4.99524994
FM2FM,5.024364636
FM2FM,5.677365669
FM2FM,7.615572557
FM2FM,5.344626289
FM2FM,8.235299652
FM2FM,8.218662683
FM2FM,4.945339034
FM2FM,6.750450169
FM2FM,6.222226404
FM2FM,4.924542822
FM2FM,6.571602753
FM2FM,5.797983694
FM2FM,6.292933522
FM2FM,5.535951433
FM2FM,8.322643739
FM2FM,5.186575084
FM2FM,5.38205947
FM2FM,1.081402985
FM2FM,5.718958092
FM2FM,6.99168622
FM2FM,6.089130652
FM2FM,5.402855681
FM2FM,6.355322156
FM2FM,5.111708723
FM2FM,5.132504935
FM2FM,1.256091159
FM2FM,2.087939609
FM2FM,3.535355911
FM2FM,4.924542822
FM2FM,5.718958092
FM2FM,4.575166473
FM2FM,4.558529504
FM2FM,5.157460388
FM2FM,5.244804475
FM2FM,8.068929962
FM2FM,3.880573018
FM2FM,3.693407117
FM2FM,7.557343166
FM2FM,4.234108609
FM2FM,4.059420435
FM2FM,11.89959207
FM2FM,3.888891502
FM2FM,3.14438714
FM2FM,10.68925258
FM2FM,3.655973936
FM2FM,4.887109642
FM2FM,3.527037427
FM2FM,5.028523878
FM2FM,12.44029357
FM2FM,4.708262225
FM2FM,3.406419402
FM2FM,9.541301718
FM2FM,5.415333408
FM2FM,7.994063602
FM2FM,3.576948334
FM2FM,7.045756369
FM2FM,7.070711823
FM2FM,3.406419402
FM2FM,6.089130652
FM2FM,2.121213547
FM2FM,3.784910446
FM2FM,4.595962685
FM2FM,2.819966245
FM2FM,3.901369229
FM2FM,2.524660045
FM2FM,4.674988287
FM2FM,4.092694373
FM2FM,4.924542822
FM2FM,9.865722614
FM2FM,7.906719514
FM2FM,4.733217679
FM2FM,4.8829504
FM2FM,6.32620746
FM2FM,14.00416865
FM2FM,3.206775774
FM2FM,9.092103555
FM2FM,5.531792191
FM2FM,5.115867966
FM2FM,6.99168622
FM2FM,10.37730941
FM2FM,3.822343626
FM2FM,5.178256599
FM2FM,4.084375888
FM2FM,6.2513411
FM2FM,3.510400458
FM2FM,5.407014923
FM2FM,11.86631814
FM2FM,3.685088632
FM2FM,2.840762456
FM2FM,2.562093225
FM2FM,3.497922731
FM2FM,3.393941675
FM2FM,3.572789091
FM2FM,3.215094258
FM2FM,3.177661078
FM2FM,4.271541789
FM2FM,6.65894684
FM2FM,3.472967278
FM2FM,7.278673935
FM2FM,3.934643167
FM2FM,4.109331342
FM2FM,3.215094258
FM2FM,3.452171066
FM2FM,3.298279103
FM2FM,3.323234557
FM2FM,3.543674396
FM2FM,4.138446037
FM2FM,3.036246841
FM2FM,4.496140871
FM2FM,4.521096324
FM2FM,3.177661078
FM2FM,0.299465442
FM2FM,4.654192076
FM2FM,4.009509528
FM2FM,3.472967278
FM2FM,6.338685187
FM2FM,4.8829504
FM2FM,6.588239722
FM2FM,6.816998045
FM2FM,6.53001033
FM2FM,6.351162914
FM2FM,8.289369801
FM2FM,2.420678989
FM2FM,2.628641101
FM2FM,8.513968883
FM2FM,5.706480365
FM2FM,5.028523878
FM2FM,6.746290927
FM2FM,7.719553613
FM2FM,4.816402524
FM2FM,6.829475772
FM2FM,4.704102983
FM2FM,4.953657518
FM2FM,4.999409183
FM2FM,5.627454762
FM2FM,4.912065096
FM2FM,3.169342593
FM2FM,4.812243282
FM2FM,7.873445576
FM2FM,7.15805591
FM2FM,3.098635475
FM2FM,6.317888976
FM2FM,3.31075683
FM2FM,10.41890183
FM2FM,3.364826979
FM2FM,0.694593456
FM2FM,1.23945419
FM2FM,0.632204822
FM2FM,0.257873019
FM2FM,4.475344659
FM2FM,1.580512054
FM2FM,0.669638002
FM2FM,1.509804936
FM2FM,8.859185989
FM2FM,3.227571985
FM2FM,7.511591501
FM2FM,1.888295981
FM2FM,1.796792651
FM2FM,10.40226486
FM2FM,3.955439378
FM2FM,10.31076153
FM2FM,7.045756369
FM2FM,7.06655258
FM2FM,5.797983694
FM2FM,7.049915611
FM2FM,4.741536163
FM2FM,5.835416875
FM2FM,6.99168622
FM2FM,5.282237656
FM2FM,5.016046152
FM2FM,4.691625256
FM2FM,0.503268312
FM2FM,4.961976003
FM2FM,4.42127451
FM2FM,3.360667737
FM2FM,6.841953499
FM2FM,3.543674396
FM2FM,3.664292421
FM2FM,5.490199768
FM2FM,3.077839264
FM2FM,4.895428127
FM2FM,4.229949367
FM2FM,4.234108609
FM2FM,4.575166473
FM2FM,4.699943741
FM2FM,3.797388173
FM2FM,7.403451202
FM2FM,4.296497243
FM2FM,5.182415842
FM2FM,3.984554074
FM2FM,5.448607346
FM2FM,3.527037427
FM2FM,3.535355911
FM2FM,4.45870769
FM2FM,3.664292421
FM2FM,3.759954993
FM2FM,4.009509528
FM2FM,4.200834671
FM2FM,4.616758896
FM2FM,4.400478299
FM2FM,4.358885876
FM2FM,3.739158781
FM2FM,4.571007231
FM2FM,4.483663144
FM2FM,0.877600114
FM2FM,1.351753731
FM2FM,4.259064063
FM2FM,10.6518194
FM2FM,5.49435901
FM2FM,4.674988287
FM2FM,4.770650859
FM2FM,5.685684154
FM2FM,3.389782433
FM2FM,0.894237083
FM2FM,3.855617564
FM2FM,0.790256027
FM2FM,12.7979884
FM2FM,0.686274971
FM2FM,4.329771181
FM2FM,0.586453157
FM2FM,2.836603214
FM2FM,3.606063029
FM2FM,7.802738458
FM2FM,3.156864867
FM2FM,0.736185878
FM2FM,4.18003846
FM2FM,0.640523306
FM2FM,1.954843857
FM2FM,0.24123605
FM2FM,0.981581171
FM2FM,4.554370262
FM2FM,0.806892996
FM2FM,0.137254994
FM2FM,2.799170033
FM2FM,2.050506429
FM2FM,2.420678989
FM2FM,0.860963145
FM2FM,2.603685648
FM2FM,6.550806541
FM2FM,6.438507001
FM2FM,5.394537196
FM2FM,5.535951433
FM2FM,6.222226404
FM2FM,6.338685187
FM2FM,8.996440984
FM2FM,9.071307344
FM2FM,6.554965784
FM2FM,8.530605852
FM2FM,5.906123993
FM2FM,3.772432719
FM2FM,5.095071754
FM2FM,5.440288861
FM2FM,4.704102983
FM2FM,4.604281169
FM2FM,3.751636508
FM2FM,4.333930423
FM2FM,3.768273477
FM2FM,3.963757863
FM2FM,3.468808035
FM2FM,3.639336967
FM2FM,4.999409183
FM2FM,4.046942708
FM2FM,4.038624223
FM2FM,4.778969344
FM2FM,6.309570491
FM2FM,7.445043625
FM2FM,6.829475772
FM2FM,6.613195175
FM2FM,5.49435901
FM2FM,0.773619058
FM2FM,2.329175659
FM2FM,4.425433752
FM2FM,3.963757863
FM2FM,3.88473226
FM2FM,4.333930423
FM2FM,5.307193109
FM2FM,10.28580608
FM2FM,6.263818826
FM2FM,6.338685187
FM2FM,5.140823419
FM2FM,5.257282202
FM2FM,4.837198735
FM2FM,4.741536163
FM2FM,3.672610905
FM2FM,4.317293454
FM2FM,3.655973936
FM2FM,3.556152122
FM2FM,6.925138344
FM2FM,3.851458322
FM2FM,4.150923764
FM2FM,3.502081973
FM2FM,3.543674396
FM2FM,12.49020447
FM2FM,3.635177725
FM2FM,3.838980595
FM2FM,3.402260159
FM2FM,4.462866933
FM2FM,4.533574051
FM2FM,4.167560733
FM2FM,7.76946452
FM2FM,4.724899194
FM2FM,4.38384133
FM2FM,6.729653958
FM2FM,6.779564865
FM2FM,6.259659584
FM2FM,5.760550514
FM2FM,9.799174738
FM2FM,6.49257715
FM2FM,5.540110675
FM2FM,5.323830078
FM2FM,5.25312296
FM2FM,3.859776807
FM2FM,4.533574051
FM2FM,4.125968311
FM2FM,5.45692583
FM2FM,5.648250974
FM2FM,5.802142937
FM2FM,4.629236623
FM2FM,4.429592995
FM2FM,4.982772214
FM2FM,5.402855681
FM2FM,4.300656485
FM2FM,6.284615038
FM2FM,4.446229964
FM2FM,5.773028241
FM2FM,4.945339034
FM2FM,7.382654991
FM2FM,6.613195175
FM2FM,6.163997012
FM2FM,5.951875658
FM2FM,5.785505968
FM2FM,5.78966521
FM2FM,5.877009297
FM2FM,6.746290927
FM2FM,5.681524911
FM2FM,3.414737886
FM2FM,4.645873592
FM2FM,5.689843396
FM2FM,4.857994946
FM2FM,6.047538229
FM2FM,5.935238689
FM2FM,3.664292421
FM2FM,6.887705164
FM2FM,3.926324683
FM2FM,3.435534097
FM2FM,3.43969334
FM2FM,5.502677495
FM2FM,4.055261192
FM2FM,3.535355911
FM2FM,3.352349252
FM2FM,4.175879218
FM2FM,5.219849022
FM2FM,5.365422501
FM2FM,3.481285762
FM2FM,4.741536163
FM2FM,3.265005165
FM2FM,3.739158781
FM2FM,5.964353384
FM2FM,3.019609872
FM2FM,3.47712652
