,Method,Block1,Block2
487,Deconvolved FM 4-64,0.032059483,0.01653661
488,Deconvolved FM 4-64,0.03256635,0.020718282
489,Deconvolved FM 4-64,0.0321862,0.0179305
490,Deconvolved FM 4-64,0.030412156,0.020021336
491,Deconvolved FM 4-64,0.032312915,0.026420562
492,Deconvolved FM 4-64,0.039092295,0.038585424
493,Deconvolved FM 4-64,0.029651852,0.04302053
494,Deconvolved FM 4-64,0.0387755,0.04067626
495,Deconvolved FM 4-64,0.048912887,0.04156328
496,Deconvolved FM 4-64,0.039535806,0.0340236
497,Deconvolved FM 4-64,0.026357202,0.040993053
498,Deconvolved FM 4-64,0.02699079,0.04200679
499,Deconvolved FM 4-64,0.040866334,0.032883145
500,Deconvolved FM 4-64,0.03174269,0.049483113
501,Deconvolved FM 4-64,0.037064817,0.042260226
502,Deconvolved FM 4-64,0.037761763,0.03883886
503,Deconvolved FM 4-64,0.029651852,0.04238694
504,Deconvolved FM 4-64,0.033770166,0.0387755
505,Deconvolved FM 4-64,0.031489253,0.03839535
506,Deconvolved FM 4-64,0.024266366,0.046758693
507,Deconvolved FM 4-64,0.031489253,0.044351064
508,Deconvolved FM 4-64,0.037001457,0.037318252
509,Deconvolved FM 4-64,0.040549543,0.039028935
510,Deconvolved FM 4-64,0.04257702,0.049483113
511,Deconvolved FM 4-64,0.029271701,0.038965575
512,FM2FM prediction,0.07032108,0.064468734
513,FM2FM prediction,0.080089614,0.06913167
514,FM2FM prediction,0.07980594,0.065018564
515,FM2FM prediction,0.066697754,0.064348385
516,FM2FM prediction,0.057239085,0.06569583
517,FM2FM prediction,0.05969067,0.08818344
518,FM2FM prediction,0.07415067,0.09252334
519,FM2FM prediction,0.09665705,0.08510993
520,FM2FM prediction,0.08231289,0.065084994
521,FM2FM prediction,0.071676485,0.090766795
522,FM2FM prediction,0.08253017,0.0882789
523,FM2FM prediction,0.08917896,0.07227094
524,FM2FM prediction,0.08074252,0.0787096
525,FM2FM prediction,0.078517675,0.07481439
526,FM2FM prediction,0.080679454,0.07476698
527,FM2FM prediction,0.08004249,0.07989575
528,FM2FM prediction,0.077427916,0.07785609
529,FM2FM prediction,0.0724311,0.06040216
530,FM2FM prediction,0.06987718,0.053354263
531,FM2FM prediction,0.09491511,0.055595905
532,FM2FM prediction,0.09076831,0.0673492
533,FM2FM prediction,0.07913814,0.06770683
534,FM2FM prediction,0.085775465,0.06742344
535,FM2FM prediction,0.085138775,0.068882056
536,FM2FM prediction,0.075562835,0.05152218
537,FM2FM prediction,0.062330566,0.042572178
538,FM2FM prediction,0.064243205,0.05603739
539,FM2FM prediction,0.060575698,0.06555917
540,FM2FM prediction,0.0574519,0.06973765
541,FM2FM prediction,0.065717116,0.067431554
542,FM2FM prediction,0.05208402,0.07453025
543,FM2FM prediction,0.053017944,0.070006855
544,FM2FM prediction,0.06785241,0.058920685
545,FM2FM prediction,0.064374514,0.05639316
546,FM2FM prediction,0.048224702,0.056974184
547,FM2FM prediction,0.051945347,0.051681597
