,Fluorophore,label,Normalized_width,IPTG,Width,Length,SurfaceArea,Volume
721,FM 4-64,25,1.0694209178428458,25 µM,0.6816789315838264,3.995993357138301,6.972983224611946,1.130826903127164
722,FM 4-64,26,1.1328005054585735,25 µM,0.7220788609748297,3.5294276047105217,6.949561595679421,1.173075403322778
723,FM 4-64,27,1.1461895174526389,25 µM,0.7306133932986295,3.167548179998015,6.13055872877135,1.0603255729231358
724,FM 4-64,1,1.0791995772795024,25 µM,0.6879121237777366,3.2779750487755392,5.609913992252864,0.9157696124412706
725,FM 4-64,2,1.216961363277918,25 µM,0.7757253557106842,2.7918229929854252,5.863439620084796,1.0165755494520332
726,FM 4-64,3,1.2894145994407156,25 µM,0.8219090835517967,3.580015906219339,7.595730633436721,1.4172664199712643
727,FM 4-64,4,1.2783221078759914,25 µM,0.8148384178557335,3.4963951025348,7.511342897467205,1.3993407452312843
728,FM 4-64,5,1.2399341426546502,25 µM,0.7903688505589337,2.656219053621267,5.809912359939031,1.0232707254802496
729,FM 4-64,6,1.254062691219671,25 µM,0.7993747842656175,2.760804208594978,6.0977136737938284,1.092166545332062
730,FM 4-64,7,1.1984852505620653,25 µM,0.7639481624972114,3.082565610858565,5.976262240041529,1.0345922764512316
731,FM 4-64,8,1.1783904942588515,25 µM,0.7511392003957004,3.0288184816827135,5.919926723367034,1.0186866987059804
732,FM 4-64,9,1.2486077639309028,25 µM,0.7958976603904124,3.161765923841688,6.771524796059756,1.217547346531772
733,FM 4-64,10,1.264831588130185,25 µM,0.8062391816397618,2.7103206113416887,5.690928514224342,1.0119293975054593
734,FM 4-64,11,1.2424351578251158,25 µM,0.7919630678786369,3.3485978670023218,6.855800995124804,1.2306186770564127
735,FM 4-64,12,1.1874176132595642,25 µM,0.7568933396060109,3.5561755461124074,6.572925719945321,1.1429560522901019
736,FM 4-64,13,1.1493852066274837,25 µM,0.7326504153411537,2.307556229706236,4.371658259387932,0.7438817113874818
737,FM 4-64,14,1.146796783821842,25 µM,0.73100048193963,2.2808426909766277,4.364638169226877,0.74051092533787
738,FM 4-64,15,1.1505633206177854,25 µM,0.7334013782901605,2.774138318580484,5.6584115037964855,0.935630288190346
739,FM 4-64,16,1.0634076410618896,25 µM,0.6778459000590378,3.2571438326845277,5.728135222407216,0.9132389159402178
740,FM 4-64,17,1.1575182080331061,25 µM,0.7378346188818302,2.7779102090946695,6.46356154875893,1.0914337613088374
741,FM 4-64,18,1.1633694514905741,25 µM,0.7415643658149361,3.482482318644045,7.329650283505631,1.2576259534005378
742,FM 4-64,19,1.0805030061781509,25 µM,0.6887429659692457,3.035679782439573,5.745969936100008,0.9082091429324862
743,FM 4-64,20,1.0620930813432516,25 µM,0.6770079627702182,6.020419712661667,6.969661053755747,1.1317414161571222
744,FM 4-64,21,1.1016254795871152,25 µM,0.7022070238211106,3.0964113731586496,5.473238404419342,0.8730444497601425
745,FM 4-64,22,1.1328004547819333,25 µM,0.7220788286721157,2.7353240100459315,5.016408045643449,0.8143044124529628
747,FM 4-64,7,1.168548673240061,25 µM,0.7448657472352168,4.104343062270045,8.645066863730595,1.5131873328955576
748,FM 4-64,8,1.2360702105553858,25 µM,0.7879058717063673,3.6945507900387984,7.9273111620783965,1.44227640930592
749,FM 4-64,9,1.2345661855025,25 µM,0.7869471638916796,3.45276717601741,7.598015415160739,1.3752707154415305
750,FM 4-64,10,1.243565086659724,25 µM,0.7926833162559505,3.63575377086791,7.096021798921791,1.3193100230679509
751,FM 4-64,11,1.2418949996988013,25 µM,0.7916187559166312,3.7226775094082614,7.185181392652517,1.3093790789072834
752,FM 4-64,7,1.0374701247734899,25 µM,0.6613125986279426,3.040299449796086,5.715397118759757,0.9393257124917888
753,FM 4-64,10,1.2153957808252331,25 µM,0.7747274094803026,3.151734602833673,5.962715785354489,1.0331459242059804
754,FM 4-64,11,1.2036597429423497,25 µM,0.767246529284721,6.321105731953453,9.677552766492077,1.7438199829991103
755,FM 4-64,13,1.298183267947064,25 µM,0.8274984791574834,4.0165878391176335,9.206280650515584,1.7613774886691596
756,FM 4-64,14,1.3205867273252796,25 µM,0.8417790734472689,4.234612777107048,9.54402492896182,1.867405478684836
757,FM 4-64,15,1.3508439457999288,25 µM,0.8610658743863246,4.583742874279612,10.769820229490218,2.1563768863607264
758,FM 4-64,16,1.3295487105034662,25 µM,0.8474916932547265,4.903181915377339,11.06810011075585,2.1901247343680437
759,FM 4-64,17,1.2714918936450068,25 µM,0.8104846474536564,2.6161330798232236,5.803934369412506,1.057478446710911
760,FM 4-64,18,1.2674523670653874,25 µM,0.8079097397471063,3.081679990390375,6.602448169721863,1.1976484733392518
761,FM 4-64,19,1.235691711391903,25 µM,0.7876646057080468,4.584477832253317,9.202054216691433,1.6942426665143935
762,FM 4-64,4,1.3903541970068691,25 µM,0.8862508182938027,4.372505167214519,11.035870546112296,2.3134828253834843
763,FM 4-64,5,1.2631507958287687,25 µM,0.8051677974157138,5.420666727456078,11.519146011885969,2.233384483628728
764,FM 4-64,6,1.1971435110060167,25 µM,0.7630929000165823,5.411648331765907,10.474281515146478,1.9376401808517816
765,FM 4-64,7,1.3306236418514916,25 µM,0.848176884689289,6.488097076855163,14.12791834748649,2.8776147748584204
767,FM 4-64,8,1.0474383460673393,25 µM,0.667666622874157,2.8653590809483003,5.644672103780339,0.8715647321092016
768,FM 4-64,9,1.1521999959715128,25 µM,0.7344446411325677,2.818210875821781,5.055057680776801,0.8691010031248788
769,FM 4-64,11,1.0709882246295113,25 µM,0.6826779769531216,2.3075278810080735,4.6938179180542,0.7289846156007943
770,FM 4-64,13,1.1275962379783362,25 µM,0.7187615147022688,3.7046052952906274,7.583584461554336,1.2766530360139818
771,FM 4-64,18,1.2653699462274797,25 µM,0.80658234621271,2.2980157130669907,5.0454673688528535,0.8825868039799687
772,FM 4-64,21,1.049435841401419,25 µM,0.6689398825069738,2.368826864013104,4.694981833559247,0.7355349342373375
773,FM 4-64,24,1.1956675546846849,25 µM,0.7621520839997987,4.324415626377269,9.783060827820055,1.7503156077285122
774,FM 4-64,25,1.3058552462868045,25 µM,0.8323888136464681,4.518881481095962,10.57536899418085,2.0530510584403165
775,FM 4-64,26,1.1998985046282085,25 µM,0.7648490103353183,4.0122655809441286,8.50976893766704,1.5362357421105242
776,FM 4-64,28,1.3444058884912298,25 µM,0.8569620758216567,4.26829950949096,8.572887401620218,1.7138270087896788
777,FM 4-64,29,1.3332742302374798,25 µM,0.8498664441778705,4.856236629310863,11.608726995948885,2.3114730321540646
778,FM 4-64,30,1.0103900324514137,25 µM,0.6440509871396052,4.767551381861978,6.812495530577483,1.147752649892778
779,FM 4-64,31,1.2472789538993778,25 µM,0.795050639551887,3.4337343661888253,8.486031231422052,1.5589885479454029
780,FM 4-64,32,1.2599962382921697,25 µM,0.8031569938347384,4.475587431618767,9.129373949532605,1.7554322170113326
781,FM 4-64,33,1.2741817548760073,25 µM,0.8121992405567685,3.6959639706786533,7.824067310487585,1.4523152713764438
782,FM 4-64,6,1.3205521750046456,25 µM,0.84175704882757,2.8176831248517464,6.930628165822029,1.3072931967743615
783,FM 4-64,9,1.1785322554753648,25 µM,0.751229562976982,3.395955717418434,6.068105051541982,1.0983144544984729
784,FM 4-64,10,1.20300379708916,25 µM,0.7668284109732885,3.409497637692777,6.255101995154971,1.088202096349638
785,FM 4-64,11,1.196959359244835,25 µM,0.7629755165114375,2.712814280600246,5.145158266086456,0.8843325356311162
786,FM 4-64,14,1.3013417120999833,25 µM,0.8295117601768712,2.4091118911533327,5.310048003760752,0.9519719503726575
787,FM 4-64,17,1.3724710471907455,25 µM,0.8748515962881227,2.5160067406338578,5.487995760930833,1.056275010554376
788,FM 4-64,18,1.3574248297062546,25 µM,0.865260714636121,2.7205263705636384,5.898453326276569,1.1574387966082786
789,FM 4-64,22,1.2918308533256724,25 µM,0.8234492716472895,2.5383875525554638,5.369090162178379,0.9699336929757255
790,FM 4-64,23,1.3518534362443695,25 µM,0.861709351950798,2.308472794169722,5.4946046616463855,1.0167067994762347
791,FM 4-64,24,1.374705951910889,25 µM,0.876276187332117,4.996183261773871,10.538782223142773,2.206800249955108
792,FM 4-64,25,1.2838556588644918,25 µM,0.8183656586855785,3.903420347544336,5.61677130520006,1.0118830014344526
793,FM 4-64,26,1.280155482967652,25 µM,0.8160070626361223,4.405523290959966,6.232435847889182,1.1362576831543418
794,FM 4-64,27,1.20668335184607,25 µM,0.769173862528934,6.072872359035179,7.801634118529894,1.3867002975452398
795,FM 4-64,28,1.2821767153909935,25 µM,0.8172954529563764,4.695033126305191,10.67548843137397,2.055801328393159
796,FM 4-64,29,1.1391979016838032,25 µM,0.7261567410227809,3.3466509914368854,6.524775329267017,1.1042832913147937
797,FM 4-64,30,1.1685662667814614,25 µM,0.7448769618526836,5.433517491372935,10.898790476129093,1.9259842074251972
