,Dye,Threshold,F1,Image
6,QoxB_sfGFP,0.8,1.0,10
7,QoxB_sfGFP,0.85,1.0,10
8,QoxB_sfGFP,0.9,0.96153843,10
9,QoxB_sfGFP,0.95,0.9230769,10
10,QoxB_sfGFP,1.0,0.0,10
0,MitoTrackerGreen,0.5,0.96428573,11
1,MitoTrackerGreen,0.55,0.9285714,11
2,MitoTrackerGreen,0.6,0.9285714,11
3,MitoTrackerGreen,0.65,0.9285714,11
4,MitoTrackerGreen,0.7,0.9285714,11
5,MitoTrackerGreen,0.75,0.91071427,11
6,MitoTrackerGreen,0.8,0.89285713,11
7,MitoTrackerGreen,0.85,0.85714287,11
8,MitoTrackerGreen,0.9,0.8035714,11
9,MitoTrackerGreen,0.95,0.6964286,11
10,MitoTrackerGreen,1.0,0.0,11
0,QoxB_sfGFP,0.5,0.9775281,11
1,QoxB_sfGFP,0.55,0.9550562,11
2,QoxB_sfGFP,0.6,0.9550562,11
3,QoxB_sfGFP,0.65,0.9550562,11
4,QoxB_sfGFP,0.7,0.94382024,11
5,QoxB_sfGFP,0.75,0.94382024,11
6,QoxB_sfGFP,0.8,0.94382024,11
7,QoxB_sfGFP,0.85,0.92134833,11
8,QoxB_sfGFP,0.9,0.8988764,11
9,QoxB_sfGFP,0.95,0.74157304,11
10,QoxB_sfGFP,1.0,0.0,11
0,MitoTrackerGreen,0.5,0.93333334,12
1,MitoTrackerGreen,0.55,0.93333334,12
2,MitoTrackerGreen,0.6,0.93333334,12
3,MitoTrackerGreen,0.65,0.93333334,12
4,MitoTrackerGreen,0.7,0.93333334,12
5,MitoTrackerGreen,0.75,0.93333334,12
6,MitoTrackerGreen,0.8,0.93333334,12
7,MitoTrackerGreen,0.85,0.93333334,12
8,MitoTrackerGreen,0.9,0.93333334,12
9,MitoTrackerGreen,0.95,0.8888889,12
10,MitoTrackerGreen,1.0,0.0,12
0,QoxB_sfGFP,0.5,0.9781022,12
1,QoxB_sfGFP,0.55,0.93430656,12
2,QoxB_sfGFP,0.6,0.93430656,12
3,QoxB_sfGFP,0.65,0.93430656,12
4,QoxB_sfGFP,0.7,0.93430656,12
5,QoxB_sfGFP,0.75,0.93430656,12
6,QoxB_sfGFP,0.8,0.93430656,12
7,QoxB_sfGFP,0.85,0.919708,12
8,QoxB_sfGFP,0.9,0.8613139,12
9,QoxB_sfGFP,0.95,0.7007299,12
10,QoxB_sfGFP,1.0,0.0,12
0,MitoTrackerGreen,0.5,0.95238096,13
1,MitoTrackerGreen,0.55,0.85714287,13
2,MitoTrackerGreen,0.6,0.85714287,13
3,MitoTrackerGreen,0.65,0.85714287,13
4,MitoTrackerGreen,0.7,0.85714287,13
5,MitoTrackerGreen,0.75,0.85714287,13
6,MitoTrackerGreen,0.8,0.85714287,13
7,MitoTrackerGreen,0.85,0.85714287,13
8,MitoTrackerGreen,0.9,0.85714287,13
9,MitoTrackerGreen,0.95,0.85714287,13
10,MitoTrackerGreen,1.0,0.0,13
0,QoxB_sfGFP,0.5,0.96132594,13
1,QoxB_sfGFP,0.55,0.96132594,13
2,QoxB_sfGFP,0.6,0.96132594,13
3,QoxB_sfGFP,0.65,0.96132594,13
4,QoxB_sfGFP,0.7,0.96132594,13
5,QoxB_sfGFP,0.75,0.95027626,13
6,QoxB_sfGFP,0.8,0.95027626,13
7,QoxB_sfGFP,0.85,0.9392265,13
8,QoxB_sfGFP,0.9,0.9171271,13
9,QoxB_sfGFP,0.95,0.5414365,13
10,QoxB_sfGFP,1.0,0.0,13
0,MitoTrackerGreen,0.5,0.9433962,14
1,MitoTrackerGreen,0.55,0.9433962,14
2,MitoTrackerGreen,0.6,0.9433962,14
3,MitoTrackerGreen,0.65,0.9433962,14
4,MitoTrackerGreen,0.7,0.9433962,14
5,MitoTrackerGreen,0.75,0.9433962,14
6,MitoTrackerGreen,0.8,0.9433962,14
7,MitoTrackerGreen,0.85,0.9433962,14
8,MitoTrackerGreen,0.9,0.9433962,14
9,MitoTrackerGreen,0.95,0.7924528,14
