Method,solidity
FM2FM,0.8125
FM2FM,0.891840607
FM2FM,0.83065513
FM2FM,0.834969325
FM2FM,0.90166113
FM2FM,0.841877256
FM2FM,0.794362588
FM2FM,0.875375375
FM2FM,0.8265625
FM2FM,0.912114014
FM2FM,0.909482759
FM2FM,0.879816514
FM2FM,0.899193548
FM2FM,0.869664634
FM2FM,0.731958763
FM2FM,0.867383513
FM2FM,0.814016173
FM2FM,0.85258216
FM2FM,0.800500835
FM2FM,0.885296382
FM2FM,0.98549323
FM2FM,0.776968895
FM2FM,0.892422825
FM2FM,0.819164265
FM2FM,0.864592094
FM2FM,0.70028169
FM2FM,0.808176101
FM2FM,0.890013495
FM2FM,0.79594689
FM2FM,0.784327822
FM2FM,0.822557471
FM2FM,0.820240623
FM2FM,0.795930949
FM2FM,0.844070278
FM2FM,0.943970767
FM2FM,0.897940913
FM2FM,0.844298246
FM2FM,0.799657534
FM2FM,0.825309491
FM2FM,0.89278206
FM2FM,0.927355278
FM2FM,0.706521739
FM2FM,0.955508475
FM2FM,0.940677966
FM2FM,0.874244256
FM2FM,0.796674225
FM2FM,0.945641026
FM2FM,0.92
FM2FM,0.88337469
FM2FM,0.932270916
FM2FM,0.951394422
FM2FM,0.92248062
FM2FM,0.886499403
FM2FM,0.922807018
FM2FM,0.940127389
FM2FM,0.931034483
FM2FM,0.80404463
FM2FM,0.884297521
FM2FM,0.905502392
FM2FM,0.823848238
FM2FM,0.772845953
FM2FM,0.905306122
FM2FM,0.841008772
FM2FM,0.861213235
FM2FM,0.929705215
FM2FM,0.730337079
FM2FM,0.919815668
FM2FM,0.794245859
FM2FM,0.774102079
FM2FM,0.742237844
FM2FM,0.874859076
FM2FM,0.926732673
FM2FM,0.948648649
FM2FM,0.970856102
FM2FM,0.938701923
FM2FM,0.907088123
FM2FM,0.920993228
FM2FM,0.768076398
FM2FM,0.913416537
FM2FM,0.685247748
FM2FM,0.833702882
FM2FM,0.854197349
FM2FM,0.759061834
FM2FM,0.951515152
FM2FM,0.93499044
FM2FM,0.943022296
FM2FM,0.907225691
FM2FM,0.84457478
FM2FM,0.910216718
FM2FM,0.980085349
FM2FM,0.853996737
FM2FM,0.916149068
FM2FM,0.920550847
FM2FM,0.836906585
FM2FM,0.910191726
FM2FM,0.90027959
FM2FM,0.937749401
FM2FM,0.832214765
FM2FM,0.665525114
FM2FM,0.862307692
FM2FM,0.926546392
FM2FM,0.897828863
FM2FM,0.920436817
FM2FM,0.758254717
FM2FM,0.941877794
FM2FM,0.947368421
FM2FM,0.912104857
FM2FM,0.911624204
FM2FM,0.880573248
FM2FM,0.875098193
FM2FM,0.9513382
FM2FM,0.919863598
FM2FM,0.915352697
FM2FM,0.931065354
FM2FM,0.934264585
FM2FM,0.946843854
FM2FM,0.938851603
FM2FM,0.940948693
FM2FM,0.929842932
FM2FM,0.930685358
FM2FM,0.942307692
FM2FM,0.931445604
FM2FM,0.921009772
FM2FM,0.91391794
FM2FM,0.93287037
FM2FM,0.945518453
FM2FM,0.927853881
FM2FM,0.91902834
FM2FM,0.943396226
FM2FM,0.928481807
FM2FM,0.925831202
FM2FM,0.940949936
FM2FM,0.906007752
FM2FM,0.933649289
FM2FM,0.926598264
FM2FM,0.925321888
FM2FM,0.926180258
FM2FM,0.945454545
FM2FM,0.930258718
FM2FM,0.93166287
FM2FM,0.899168975
FM2FM,0.936926606
FM2FM,0.948697068
FM2FM,0.943629344
FM2FM,0.940149626
FM2FM,0.908831909
FM2FM,0.934926959
FM2FM,0.933954934
FM2FM,0.928691275
FM2FM,0.918945313
FM2FM,0.921487603
FM2FM,0.916492693
FM2FM,0.842352941
FM2FM,0.657099698
FM2FM,0.912322275
FM2FM,0.798098025
FM2FM,0.8507109
FM2FM,0.93126177
FM2FM,0.753094463
FM2FM,0.926339286
FM2FM,0.855096883
FM2FM,0.919878296
FM2FM,0.917517007
FM2FM,0.637128435
FM2FM,0.86728972
FM2FM,0.897717667
FM2FM,0.818916734
FM2FM,0.79947403
FM2FM,0.813636364
FM2FM,0.931034483
FM2FM,0.944444444
FM2FM,0.933383234
FM2FM,0.945035461
FM2FM,0.936416185
FM2FM,0.914568345
FM2FM,0.661321115
FM2FM,0.68960396
FM2FM,0.887804878
FM2FM,0.921588595
FM2FM,0.698918919
FM2FM,0.828313253
FM2FM,0.910807975
FM2FM,0.851806491
FM2FM,0.916492693
FM2FM,0.681411531
FM2FM,0.917536534
FM2FM,0.905597327
FM2FM,0.90593047
FM2FM,0.782043344
FM2FM,0.714184397
FM2FM,0.64084507
FM2FM,0.965644172
FM2FM,0.977272727
FM2FM,0.944920441
FM2FM,0.796804793
FM2FM,0.885214008
FM2FM,0.761562998
FM2FM,0.915217391
FM2FM,0.904483431
FM2FM,0.81462141
FM2FM,0.952702703
FM2FM,0.932555123
FM2FM,0.826779026
FM2FM,0.948066298
FM2FM,0.928066038
FM2FM,0.948126801
FM2FM,0.894401134
FM2FM,0.928915663
FM2FM,0.966666667
FM2FM,0.944718657
FM2FM,0.924290221
FM2FM,0.808394161
FM2FM,0.957356077
FM2FM,0.928763441
FM2FM,0.956578947
FM2FM,0.845735027
FM2FM,0.909821429
FM2FM,0.780673872
FM2FM,0.847434119
FM2FM,0.933684211
FM2FM,0.924867725
FM2FM,0.947277442
FM2FM,0.84132343
FM2FM,0.902529303
FM2FM,0.811152416
FM2FM,0.688845401
FM2FM,0.903755869
FM2FM,0.935416667
FM2FM,0.900641026
FM2FM,0.931475029
FM2FM,0.951990632
FM2FM,0.802404207
FM2FM,0.950950951
FM2FM,0.931777379
FM2FM,0.934571176
FM2FM,0.927083333
FM2FM,0.916469661
FM2FM,0.938011696
FM2FM,0.880749574
FM2FM,0.775710088
FM2FM,0.824958124
FM2FM,0.828488372
FM2FM,0.809760132
FM2FM,0.946915352
FM2FM,0.883068288
FM2FM,0.934911243
FM2FM,0.865576102
FM2FM,0.846220678
FM2FM,0.907407407
FM2FM,0.925925926
FM2FM,0.935779817
