Method,Width
FM2FM,0.790537426
FM2FM,0.813781538
FM2FM,0.89845024
FM2FM,0.850581552
FM2FM,0.782571452
FM2FM,0.841435836
FM2FM,0.854633929
FM2FM,0.894250196
FM2FM,0.864204447
FM2FM,0.816153104
FM2FM,0.842842069
FM2FM,0.780311949
FM2FM,0.838555152
FM2FM,0.884086773
FM2FM,0.650488919
FM2FM,0.772816998
FM2FM,0.775397988
FM2FM,0.843205862
FM2FM,0.897147877
FM2FM,0.811191848
FM2FM,0.882605327
FM2FM,0.793706222
FM2FM,0.783141552
FM2FM,0.905169209
FM2FM,0.875149318
FM2FM,0.800067187
FM2FM,0.819467388
FM2FM,0.77526456
FM2FM,0.733171896
FM2FM,0.84938865
FM2FM,0.913401904
FM2FM,0.884317133
FM2FM,0.95145552
FM2FM,0.821392627
FM2FM,0.896287736
FM2FM,0.871637937
FM2FM,0.877038517
FM2FM,0.860633517
FM2FM,0.864469968
FM2FM,0.832240642
FM2FM,0.796323599
FM2FM,0.922733078
FM2FM,0.892188787
FM2FM,0.880229392
FM2FM,0.844900051
FM2FM,0.91152297
FM2FM,0.820262615
FM2FM,0.8281865
FM2FM,0.87041776
FM2FM,0.885456222
FM2FM,0.906796215
FM2FM,0.905922696
FM2FM,0.911023124
FM2FM,0.824675582
FM2FM,0.813628752
FM2FM,0.748986657
FM2FM,0.749683426
FM2FM,0.757621854
FM2FM,0.908918051
FM2FM,0.749737463
FM2FM,0.928724357
FM2FM,0.905835405
FM2FM,0.974558418
FM2FM,0.898208359
FM2FM,0.910763646
FM2FM,0.892531514
FM2FM,0.873472034
FM2FM,0.904584875
FM2FM,0.910430581
FM2FM,0.913808042
FM2FM,0.769998712
FM2FM,0.91349029
FM2FM,0.945728561
FM2FM,0.916920554
FM2FM,0.805925977
FM2FM,0.804739325
FM2FM,0.786689816
FM2FM,0.821857687
FM2FM,0.84160403
FM2FM,0.865595279
FM2FM,0.838885282
FM2FM,0.859095792
FM2FM,0.856952066
FM2FM,0.818165077
FM2FM,0.842245086
FM2FM,0.7766861
FM2FM,0.759689203
FM2FM,0.880880075
FM2FM,0.869420582
FM2FM,0.89946025
FM2FM,0.9714631
FM2FM,0.982705937
FM2FM,0.899923064
FM2FM,0.823093373
FM2FM,0.853747649
FM2FM,0.910595061
FM2FM,0.858253056
FM2FM,0.958692146
FM2FM,0.822309921
FM2FM,0.738510092
FM2FM,0.893791735
FM2FM,0.731070296
FM2FM,0.900297803
FM2FM,0.798017561
FM2FM,0.835997323
FM2FM,0.803805719
FM2FM,0.703144075
FM2FM,0.721759038
FM2FM,0.804425177
FM2FM,0.820245012
FM2FM,0.776434457
FM2FM,0.793575052
FM2FM,0.817797415
FM2FM,0.86863639
FM2FM,0.829315861
FM2FM,0.849783582
FM2FM,0.812003625
FM2FM,0.841488525
FM2FM,0.830608709
FM2FM,0.846665886
FM2FM,0.848569463
FM2FM,0.889510917
FM2FM,0.905064299
FM2FM,0.865038439
FM2FM,0.642926157
FM2FM,0.8081926
FM2FM,0.954496541
FM2FM,0.815350041
FM2FM,0.756732425
FM2FM,0.822256205
FM2FM,0.854910025
FM2FM,0.918113905
FM2FM,0.814640901
FM2FM,0.886339171
FM2FM,0.806990525
FM2FM,0.866237762
FM2FM,0.88258779
FM2FM,0.838723892
FM2FM,0.882890147
FM2FM,0.88083585
FM2FM,0.852513826
FM2FM,0.883336767
FM2FM,0.88530765
FM2FM,0.799370241
FM2FM,0.842587668
FM2FM,0.814780442
FM2FM,0.791895796
FM2FM,0.931930915
FM2FM,0.824277344
FM2FM,0.956778855
FM2FM,0.796949416
FM2FM,0.838863049
FM2FM,0.92648365
FM2FM,0.884825647
FM2FM,0.888527312
FM2FM,0.931775319
FM2FM,0.863526675
FM2FM,0.88238117
FM2FM,0.817044275
FM2FM,0.802893065
FM2FM,0.936219925
FM2FM,0.882632406
FM2FM,0.890206378
FM2FM,0.9100043
FM2FM,0.835422518
FM2FM,0.93175699
FM2FM,0.875800219
FM2FM,0.841184994
FM2FM,0.83230593
FM2FM,0.90323593
FM2FM,0.965941687
FM2FM,0.923214777
FM2FM,0.896192127
FM2FM,0.853402185
FM2FM,0.722567715
FM2FM,0.971445469
FM2FM,0.899768808
FM2FM,0.853777536
FM2FM,0.832056778
FM2FM,0.834036205
FM2FM,0.92205424
FM2FM,0.839340335
FM2FM,0.906126831
FM2FM,0.913495501
FM2FM,0.886445384
FM2FM,0.802150572
FM2FM,0.801932043
FM2FM,0.841888461
FM2FM,0.879302275
FM2FM,0.710110544
FM2FM,0.859523387
FM2FM,0.815814064
FM2FM,0.8541827
FM2FM,0.827546405
FM2FM,0.845630144
FM2FM,0.914800448
FM2FM,0.78577631
FM2FM,0.816410463
FM2FM,0.855234062
FM2FM,0.732901885
FM2FM,0.87423861
FM2FM,0.756180021
FM2FM,0.806731087
FM2FM,0.774866064
FM2FM,0.837888812
FM2FM,0.817052347
FM2FM,0.81244836
FM2FM,0.884783158
FM2FM,0.857465771
FM2FM,0.830332563
FM2FM,0.863949592
FM2FM,0.847293042
FM2FM,0.795994053
FM2FM,0.894525849
FM2FM,0.807545707
FM2FM,0.789802646
FM2FM,0.838529566
FM2FM,0.912345143
FM2FM,0.854329646
FM2FM,0.859455784
FM2FM,0.898080653
FM2FM,0.93031429
FM2FM,0.902336434
FM2FM,0.909092589
FM2FM,0.894472888
FM2FM,0.908765221
FM2FM,0.869300714
FM2FM,0.850923803
FM2FM,0.666287022
FM2FM,0.918700667
FM2FM,0.855385393
FM2FM,0.835625065
FM2FM,0.845705445
