,Bacillus subtilis subspecies subtilis PY79,Priestia megaterium 1060,Priestia megaterium 899,Priestia megaterium DSM 319,Priestia megaterium KM,Priestia megaterium QM B1551,Priestia megaterium WH320,Time
173,-0.5173659211845067,-0.3041363630396187,-0.8115485409730441,0.16397437617733698,-0.5724705153697144,0.19586722370611906,0.2645175558414093,14.416666666666666
174,-0.5257344256389777,-0.31575898998148,-0.8121958482603956,0.1644468115577018,-0.571072914372776,0.19634699652870152,0.26642334510809423,14.5
175,-0.5341524373071536,-0.3275425246503409,-0.8128675470393543,0.16493405503673306,-0.5697268014828407,0.19683024299856253,0.26824097103334266,14.583333333333334
176,-0.5426192080986382,-0.3394832947397457,-0.8135632549133214,0.1654356789359645,-0.568431293100502,0.19731667531010919,0.2699723167679431,14.666666666666666
177,-0.5511339899230352,-0.35157762794323927,-0.8142825894857002,0.16595125557693008,-0.5671855056263538,0.19780600565774875,0.2716192654626842,14.75
178,-0.5596960346899478,-0.363821851954366,-0.8150251683598927,0.16648035728116356,-0.5659885554609899,0.1982979462358884,0.2731837002683543,14.833333333333334
179,-0.56830459430898,-0.37621229446667,-0.8157906091393013,0.16702255637019872,-0.564839559005004,0.19879220923893545,0.27466750433574233,14.916666666666666
180,-0.5769589206897348,-0.3887452831736963,-0.8165785294273282,0.1675774251655695,-0.5637376326589901,0.19928850686129704,0.2760725608156366,15.0
181,-0.5856582657418162,-0.4014171457689892,-0.817388546827376,0.16814453598880963,-0.5626818928235419,0.19978655129738038,0.2774007528588257,15.083333333333334
182,-0.5944018813748272,-0.41422420994609266,-0.818220278942847,0.168723461161453,-0.561671455899253,0.20028605474159278,0.2786539636160983,15.166666666666666
183,-0.6031890194983721,-0.4271628033985521,-0.8190733433771431,0.16931377300503336,-0.5607054382867172,0.20078672938834136,0.2798340762382429,15.25
184,-0.6120189320220542,-0.44022925381991157,-0.819947357733667,0.1699150438410846,-0.5597829563865283,0.2012882874320334,0.2809429738760481,15.333333333333334
185,-0.6208908708554763,-0.45341988890371504,-0.8208419396158213,0.1705268459911406,-0.5589031265992805,0.20179044106707605,0.28198253968030246,15.416666666666666
186,-0.629804087908243,-0.46673103634350793,-0.8217567066270081,0.17114875177673516,-0.5580650653255672,0.20229290248787665,0.28295465680179466,15.5
187,-0.6387578350899574,-0.48015902383283426,-0.8226912763706293,0.17178033351940195,-0.557267888965982,0.20279538388884233,0.283861208391313,15.583333333333334
188,-0.6477513643102227,-0.49370017906523816,-0.823645266450088,0.17242116354067497,-0.5565107139211193,0.20329759746438036,0.28470407759964633,15.666666666666666
189,-0.6567839274786432,-0.5073508297342647,-0.8246182944687858,0.17307081416208797,-0.5557926565915723,0.20379925540889784,0.28548514757758303,15.75
190,-0.6658547765048218,-0.5211073035334584,-0.8256099780301259,0.1737288577051749,-0.555112833377935,0.2043000699168022,0.2862063014759118,15.833333333333334
191,-0.6749631632983624,-0.534965928156363,-0.8266199347375097,0.1743948664914694,-0.5544703606808012,0.20479975318250043,0.28686942244542113,15.916666666666666
192,-0.6841083397688685,-0.5489230312965239,-0.8276477821943403,0.17506841284250546,-0.5538643549007648,0.20529801740039996,0.28747639363689964,16.0
193,-0.6932895578259433,-0.5629749406474849,-0.8286931380040199,0.1757490690798168,-0.5532939324384194,0.20579457476490784,0.28802909820113587,16.083333333333332
194,-0.7025060693791911,-0.5771179839027913,-0.8297556197699504,0.1764364075249373,-0.5527582096943587,0.20628913747043137,0.2885294192889184,16.166666666666668
195,-0.7117571263382148,-0.5913484887559864,-0.8308348450955345,0.1771300004994008,-0.5522563030691767,0.20678141771137773,0.2889792400510357,16.25
196,-0.7210419806126177,-0.6056627829006155,-0.8319304315841745,0.17782942032474108,-0.5517873289634673,0.20727112768215422,0.28938044363827653,16.333333333333332
197,-0.7303598841120044,-0.6200571940302234,-0.8330419968392725,0.17853423932249196,-0.5513504037778238,0.20775797957716796,0.28973491320142936,16.416666666666668
198,-0.7397100887459773,-0.6345280498383538,-0.8341691584642315,0.1792440298141874,-0.5509446439128406,0.20824168559082626,0.29004453189128276,16.5
199,-0.7490918464241407,-0.6490716780185511,-0.8353115340624533,0.17995836412136107,-0.5505691657691112,0.20872195791753628,0.29031118285862534,16.583333333333332
200,-0.7585044090560981,-0.6636844062643609,-0.8364687412373402,0.18067681456554688,-0.5502230857472291,0.20919850875170523,0.29053674925424555,16.666666666666668
201,-0.7679470285514527,-0.6783625622693265,-0.8376403975922947,0.1813989534682786,-0.5499055202477885,0.2096710502877404,0.29072311422893216,16.75
202,-0.7774189568198082,-0.693102473726993,-0.8388261207307189,0.18212435315109007,-0.5496155856713828,0.21013929472004894,0.29087216093347346,16.833333333333332
203,-0.7869194457707683,-0.7079004683309049,-0.8400255282560157,0.18285258593551523,-0.5493523984186064,0.21060295424303813,0.29098577251865837,16.916666666666668
