,Image type,Model,Threshold,F1,Image
6,Deconvolved,Omnipose,0.8,0.8514056,7
7,Deconvolved,Omnipose,0.85,0.8433735,7
8,Deconvolved,Omnipose,0.9,0.72289157,7
9,Deconvolved,Omnipose,0.95,0.0562249,7
10,Deconvolved,Omnipose,1.0,0.0,7
0,Deconvolved,Cellpose-SAM,0.5,0.92827004,7
1,Deconvolved,Cellpose-SAM,0.55,0.9113924,7
2,Deconvolved,Cellpose-SAM,0.6,0.9113924,7
3,Deconvolved,Cellpose-SAM,0.65,0.9113924,7
4,Deconvolved,Cellpose-SAM,0.7,0.9113924,7
5,Deconvolved,Cellpose-SAM,0.75,0.9113924,7
6,Deconvolved,Cellpose-SAM,0.8,0.90295357,7
7,Deconvolved,Cellpose-SAM,0.85,0.8691983,7
8,Deconvolved,Cellpose-SAM,0.9,0.7510548,7
9,Deconvolved,Cellpose-SAM,0.95,0.23628692,7
10,Deconvolved,Cellpose-SAM,1.0,0.0,7
0,Deconvolved,microSAM,0.5,0.77037036,7
1,Deconvolved,microSAM,0.55,0.75555557,7
2,Deconvolved,microSAM,0.6,0.75555557,7
3,Deconvolved,microSAM,0.65,0.75555557,7
4,Deconvolved,microSAM,0.7,0.75555557,7
5,Deconvolved,microSAM,0.75,0.74814814,7
6,Deconvolved,microSAM,0.8,0.74814814,7
7,Deconvolved,microSAM,0.85,0.65185183,7
8,Deconvolved,microSAM,0.9,0.4,7
9,Deconvolved,microSAM,0.95,0.05185185,7
10,Deconvolved,microSAM,1.0,0.0,7
0,Deconvolved,Cellpose3,0.5,0.84210527,7
1,Deconvolved,Cellpose3,0.55,0.81781375,7
2,Deconvolved,Cellpose3,0.6,0.8016194,7
3,Deconvolved,Cellpose3,0.65,0.79352224,7
4,Deconvolved,Cellpose3,0.7,0.72064775,7
5,Deconvolved,Cellpose3,0.75,0.58299595,7
6,Deconvolved,Cellpose3,0.8,0.3805668,7
7,Deconvolved,Cellpose3,0.85,0.16194332,7
8,Deconvolved,Cellpose3,0.9,0.016194332,7
9,Deconvolved,Cellpose3,0.95,0.0,7
10,Deconvolved,Cellpose3,1.0,0.0,7
0,Deconvolved,Morphometrics,0.5,0.8663968,7
1,Deconvolved,Morphometrics,0.55,0.8340081,7
2,Deconvolved,Morphometrics,0.6,0.8340081,7
3,Deconvolved,Morphometrics,0.65,0.8340081,7
4,Deconvolved,Morphometrics,0.7,0.8259109,7
5,Deconvolved,Morphometrics,0.75,0.8097166,7
6,Deconvolved,Morphometrics,0.8,0.77732795,7
7,Deconvolved,Morphometrics,0.85,0.68016195,7
8,Deconvolved,Morphometrics,0.9,0.58299595,7
9,Deconvolved,Morphometrics,0.95,0.2834008,7
10,Deconvolved,Morphometrics,1.0,0.0,7
0,Deconvolved,Omnipose,0.5,0.9230769,8
1,Deconvolved,Omnipose,0.55,0.9230769,8
2,Deconvolved,Omnipose,0.6,0.9230769,8
3,Deconvolved,Omnipose,0.65,0.9230769,8
4,Deconvolved,Omnipose,0.7,0.9230769,8
5,Deconvolved,Omnipose,0.75,0.9230769,8
6,Deconvolved,Omnipose,0.8,0.7692308,8
7,Deconvolved,Omnipose,0.85,0.61538464,8
8,Deconvolved,Omnipose,0.9,0.61538464,8
9,Deconvolved,Omnipose,0.95,0.15384616,8
10,Deconvolved,Omnipose,1.0,0.0,8
0,Deconvolved,Cellpose-SAM,0.5,0.46153846,8
1,Deconvolved,Cellpose-SAM,0.55,0.30769232,8
2,Deconvolved,Cellpose-SAM,0.6,0.30769232,8
3,Deconvolved,Cellpose-SAM,0.65,0.30769232,8
4,Deconvolved,Cellpose-SAM,0.7,0.30769232,8
5,Deconvolved,Cellpose-SAM,0.75,0.30769232,8
6,Deconvolved,Cellpose-SAM,0.8,0.30769232,8
7,Deconvolved,Cellpose-SAM,0.85,0.30769232,8
8,Deconvolved,Cellpose-SAM,0.9,0.30769232,8
9,Deconvolved,Cellpose-SAM,0.95,0.30769232,8
10,Deconvolved,Cellpose-SAM,1.0,0.0,8
0,Deconvolved,microSAM,0.5,0.71428573,8
1,Deconvolved,microSAM,0.55,0.5714286,8
2,Deconvolved,microSAM,0.6,0.5714286,8
3,Deconvolved,microSAM,0.65,0.5714286,8
4,Deconvolved,microSAM,0.7,0.5714286,8
5,Deconvolved,microSAM,0.75,0.5714286,8
6,Deconvolved,microSAM,0.8,0.42857143,8
7,Deconvolved,microSAM,0.85,0.2857143,8
8,Deconvolved,microSAM,0.9,0.2857143,8
9,Deconvolved,microSAM,0.95,0.2857143,8
10,Deconvolved,microSAM,1.0,0.0,8
0,Deconvolved,Cellpose3,0.5,0.7692308,8
1,Deconvolved,Cellpose3,0.55,0.7692308,8
2,Deconvolved,Cellpose3,0.6,0.7692308,8
3,Deconvolved,Cellpose3,0.65,0.7692308,8
4,Deconvolved,Cellpose3,0.7,0.7692308,8
5,Deconvolved,Cellpose3,0.75,0.7692308,8
6,Deconvolved,Cellpose3,0.8,0.61538464,8
7,Deconvolved,Cellpose3,0.85,0.15384616,8
8,Deconvolved,Cellpose3,0.9,0.0,8
9,Deconvolved,Cellpose3,0.95,0.0,8
10,Deconvolved,Cellpose3,1.0,0.0,8
0,Deconvolved,Morphometrics,0.5,0.625,8
1,Deconvolved,Morphometrics,0.55,0.5,8
2,Deconvolved,Morphometrics,0.6,0.375,8
3,Deconvolved,Morphometrics,0.65,0.375,8
4,Deconvolved,Morphometrics,0.7,0.375,8
5,Deconvolved,Morphometrics,0.75,0.375,8
6,Deconvolved,Morphometrics,0.8,0.375,8
7,Deconvolved,Morphometrics,0.85,0.375,8
8,Deconvolved,Morphometrics,0.9,0.125,8
9,Deconvolved,Morphometrics,0.95,0.125,8
10,Deconvolved,Morphometrics,1.0,0.0,8
0,Deconvolved,Omnipose,0.5,1.0,9
1,Deconvolved,Omnipose,0.55,1.0,9
2,Deconvolved,Omnipose,0.6,1.0,9
3,Deconvolved,Omnipose,0.65,1.0,9
4,Deconvolved,Omnipose,0.7,1.0,9
5,Deconvolved,Omnipose,0.75,1.0,9
